PAÍS;UF;ANO;MÊS;ÁREA DE ATRIBUIÇÃO;QTD DE OPERAÇÕES;PRISÕES EM FLAGRANTE;MBAS EXPEDIDOS;PRISÕES PREVENTIVAS EXPEDIDAS;PRISÕES TEMPORÁRIAS EXPEDIDAS
BRASIL;AM;2023;Out;Crimes Cibernéticos (legado);0;0;0;0;0
BRASIL;AM;2023;Nov;Crimes Cibernéticos (legado);0;0;0;0;0
BRASIL;AM;2023;Dez;Crimes Cibernéticos (legado);0;0;0;0;0
BRASIL;AM;2023;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;2;0;2;1;1
BRASIL;AM;2023;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;2;1;0
BRASIL;AM;2023;Mar;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;1;0;0
BRASIL;AM;2023;Abr;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;1;0;0
BRASIL;AM;2023;Mai;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;2;0;2;1;0
BRASIL;AM;2023;Jun;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0
BRASIL;AM;2023;Jul;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;1;1;0
BRASIL;AM;2023;Ago;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0
BRASIL;AM;2023;Set;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;2;1;2;0;0
BRASIL;AM;2023;Out;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;1;0;0;0
BRASIL;AM;2023;Nov;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;2;1;2;1;0
BRASIL;AM;2023;Dez;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;2;1;2;2;0
BRASIL;AM;2023;Jan;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;AM;2023;Fev;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;AM;2023;Mar;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;AM;2023;Abr;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;AM;2023;Mai;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;AM;2023;Jun;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;AM;2023;Jul;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;AM;2023;Ago;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;AM;2023;Set;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;AM;2023;Out;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;AM;2023;Nov;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;AM;2023;Dez;Crimes de alta tecnologia;0;0;0;0;0
BRASIL;AM;2023;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;AM;2023;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;AM;2023;Mar;Crimes Cibernéticos de Ódio;0;0;0;0;0
BRASIL;AM;2023;Abr;Crimes Cibernéticos de Ódio;0;1;0;0;0
