PAÍS;UF;ANO;MÊS;ÁREA DE ATRIBUIÇÃO;QTD DE OPERAÇÕES;PRISÕES EM FLAGRANTE;QTD DE VÍTIMAS DE ABUSO SEXUAL INFANTOJUVENIL RESGATADAS;MBAS CUMPRIDOS;PRISÕES PREVENTIVAS CUMPRIDAS;PRISÕES TEMPORÁRIAS CUMPRIDAS
BRASIL;MT;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;2;0;0
BRASIL;MT;2025;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;MT;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;MT;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;MT;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PA;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;1;1;1;0;0
BRASIL;PA;2025;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PA;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PA;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PA;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PB;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;1;0;0
BRASIL;PB;2025;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PB;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PB;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PB;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PE;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PE;2025;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PE;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PE;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PE;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PI;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PI;2025;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PI;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PI;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PI;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PR;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;2;0;0
BRASIL;PR;2025;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PR;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PR;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PR;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;RJ;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;1;0;2;0;0
BRASIL;RJ;2025;Jan;Fraudes bancárias eletrônicas;1;1;0;3;0;0
BRASIL;RJ;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;RJ;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
